Year,CatchLow,CatchHigh,AccumulatedN_SRW
1648,0,0,0
1649,0,0,0
1650,0,0,0
1651,0,0,0
1652,0,0,0
1653,0,0,0
1654,0,0,0
1655,0,0,0
1656,0,0,0
1657,0,0,0
1658,0,0,0
1659,0,0,0
1660,0,0,0
1661,0,0,0
1662,0,0,0
1663,0,0,0
1664,0,0,0
1665,0,0,0
1666,0,0,0
1667,0,0,0
1668,0,0,0
1669,0,0,0
1670,0,0,0
1671,0,0,0
1672,0,0,0
1673,0,0,0
1674,0,0,0
1675,0,0,0
1676,0,0,0
1677,0,0,0
1678,20,30,0
1679,20,30,0
1680,20,30,0
1681,20,30,0
1682,20,30,0
1683,20,30,0
1684,20,30,0
1685,20,30,0
1686,20,30,0
1687,20,30,0
1688,20,30,0
1689,20,30,0
1690,20,30,0
1691,20,30,0
1692,20,30,0
1693,20,30,0
1694,20,30,0
1695,20,30,0
1696,20,30,0
1697,20,30,0
1698,20,30,0
1699,20,30,0
1700,20,30,0
1701,20,30,0
1702,20,30,0
1703,20,30,0
1704,20,30,0
1705,20,30,0
1706,20,30,0
1707,20,30,0
1708,20,30,0
1709,20,30,0
1710,20,30,0
1711,20,30,0
1712,20,30,0
1713,20,30,0
1714,20,30,0
1715,20,30,0
1716,20,30,0
1717,20,30,0
1718,20,30,0
1719,20,30,0
1720,20,30,0
1721,20,30,0
1722,20,30,0
1723,20,30,0
1724,20,30,0
1725,20,30,0
1726,20,30,0
1727,20,30,0
1728,20,30,0
1729,20,30,0
1730,20,30,0
1731,20,30,0
1732,20,30,0
1733,20,30,0
1734,20,30,0
1735,20,30,0
1736,20,30,0
1737,20,30,0
1738,20,30,0
1739,20,30,0
1740,20,30,0
1741,20,30,0
1742,20,30,0
1743,20,30,0
1744,20,30,0
1745,20,30,0
1746,20,30,0
1747,20,30,0
1748,100,200,0
1749,100,200,0
1750,100,200,0
1751,20,30,0
1752,20,30,0
1753,20,30,0
1754,20,30,0
1755,20,30,0
1756,20,30,0
1757,20,30,0
1758,20,30,0
1759,20,30,0
1760,20,30,0
1761,20,1750,0
1762,20,1750,0
1763,20,1750,0
1764,20,1750,0
1765,20,1750,0
1766,20,1750,0
1767,20,1750,0
1768,20,1750,0
1769,20,1750,0
1770,20,1750,0
1771,0,1750,0
1772,1000,1000,0
1773,1000,1000,0
1774,1010,1010,0
1775,1020,1020,0
1776,1330,1330,0
1777,990,990,0
1778,970,970,0
1779,880,880,0
1780,770,770,0
1781,700,700,0
1782,650,650,0
1783,640,640,0
1784,670,670,0
1785,910,910,0
1786,860,860,0
1787,1180,1180,0
1788,1180,1180,0
1789,850,850,0
1790,720,720,0
1791,790,790,0
1792,780,780,0
1793,760,760,0
1794,610,610,0
1795,780,780,0
1796,550,550,0
1797,520,520,0
1798,400,400,0
1799,380,380,0
1800,650,650,0
1801,670,670,0
1802,600,600,0
1803,730,730,0
1804,580,580,0
1805,580,580,0
1806,550,550,0
1807,470,470,0
1808,670,670,0
1809,540,540,0
1810,400,400,0
1811,180,180,0
1812,40,40,0
1813,30,30,0
1814,0,670,0
1815,0,650,0
1816,0,1030,0
1817,70,920,0
1818,110,1150,0
1819,200,1440,0
1820,230,1450,0
1821,170,1220,0
1822,130,770,0
1823,150,860,0
1824,140,830,0
1825,240,760,0
1826,160,750,0
1827,170,810,0
1828,120,790,0
1829,170,660,0
1830,190,850,0
1831,200,270,0
1832,200,230,0
1833,230,310,0
1834,200,240,0
1835,80,440,0
1836,110,230,0
1837,10,380,0
1838,20,260,0
1839,0,60,0
1840,0,150,0
1841,0,80,0
1842,0,30,0
1843,0,20,0
1844,0,0,0
1845,0,80,0
1846,0,10,0
1847,0,70,0
1848,10,40,0
1849,0,30,0
1850,10,30,0
1851,0,0,0
1852,0,0,0
1853,0,0,0
1854,0,0,0
1855,0,0,0
1856,0,40,0
1857,10,10,0
1858,10,20,0
1859,10,10,0
1860,10,10,0
1861,0,10,0
1862,10,20,0
1863,20,30,0
1864,10,20,0
1865,0,20,0
1866,10,20,0
1867,0,0,0
1868,0,20,0
1869,0,40,0
1870,0,20,0
1871,0,20,0
1872,0,30,0
1873,0,10,0
1874,0,30,0
1875,0,10,0
1876,0,0,0
1877,0,0,0
1878,0,20,0
1879,10,20,0
1880,0,30,0
1881,0,10,0
1882,0,20,0
1883,0,40,0
1884,0,10,0
1885,0,10,0
1886,0,10,0
1887,0,30,0
1888,0,20,0
1889,0,40,0
1890,0,10,0
1891,0,20,0
1892,0,0,0
1893,0,70,0
1894,0,40,0
1895,0,10,0
1896,0,0,0
1897,0,0,0
1898,0,0,0
1899,0,30,0
1900,0,0,0
1901,0,0,0
1902,0,0,0
1903,0,0,0
1904,0,0,0
1905,0,0,0
1906,0,0,0
1907,90,90,0
1908,70,70,0
1909,60,60,0
1910,120,120,0
1911,100,100,0
1912,30,30,0
1913,70,70,0
1914,20,20,0
1915,20,20,0
1916,20,20,0
1917,50,50,0
1918,10,10,0
1919,20,20,0
1920,10,10,0
1921,10,10,0
1922,0,0,0
1923,10,10,0
1924,10,10,0
1925,0,0,0
1926,0,0,0
1927,0,0,0
1928,0,0,0
1929,0,0,0
1930,0,0,0
1931,0,0,0
1932,0,0,0
1933,0,0,0
1934,10,10,0
1935,0,0,0
1936,0,0,0
1937,0,0,0
1938,0,0,0
1939,0,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,10,10,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,10,10,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,1340,1340,0
1962,510,510,0
1963,40,40,0
1964,0,0,0
1965,0,0,0
1966,50,50,0
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,956
2000,0,0,1868
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,1193
2006,0,0,1473
2007,0,0,2237
2008,0,0,1953
2009,0,0,1499
2010,0,0,1676
2011,0,0,1387
2012,0,0,1936
2013,0,0,2238
2014,0,0,1592
2015,0,0,1234
2016,0,0,954
2017,0,0,1570
2018,0,0,2201
2019,0,0,1291
2020,0,0,0
2021,0,0,0
