Flight,Year,Month,Observed whales,Julian day
1,1999,5,5,139
2,1999,7,117,183
3,1999,8,460,229
4,1999,9,549,272
5,1999,11,172,314
6,1999,12,10,349
9,2000,5,43,149
10,2000,7,323,194
11,2000,9,558,271
12,2000,11,296,319
19,2005,6,84,159
20,2005,7,591,200
21,2005,9,733,251
22,2005,10,217,298
23,2005,12,3,351
25,2006,3,1,87
26,2006,5,4,130
27,2006,7,657,212
28,2006,9,786,250
29,2006,10,484,296
32,2007,5,57,143
33,2007,6,393,177
34,2007,8,1006,234
36,2007,10,957,275
37,2007,11,108,328
39,2008,4,16,120
40,2008,7,606,183
42,2008,9,621,251
43,2008,9,502,267
44,2008,11,173,315
46,2009,5,5,126
47,2009,6,335,176
48,2009,9,705,253
49,2010,4,6,117
50,2010,10,662,274
51,2011,5,14,133
52,2011,8,1262,228
53,2011,10,284,278
54,2012,5,58,144
55,2012,8,802,215
56,2013,5,50,138
57,2013,7,1143,207
58,2013,9,909,249
59,2013,11,161,317
60,2014,4,1,113
61,2014,6,253,170
62,2014,10,468,281
63,2015,4,3,113
64,2015,6,112,159
65,2015,9,557,257
66,2015,10,278,275
67,2015,11,102,322
68,2016,8,725,222
69,2016,9,439,265
70,2016,10,112,301
71,2017,7,542,188
72,2017,9,838,247
73,2017,10,246,294
74,2018,5,39,143
75,2018,8,1079,213
76,2018,8,1605,243
77,2019,7,301,189
78,2019,8,1077,237
79,2019,10,362,275
